text,label
"I love this product!",positive
"This is the worst experience ever.",negative
"Amazing quality, highly recommend!",positive
"Terrible customer service.",negative
"Best purchase I have made in a while.",positive
"The food was cold and tasteless.",negative
"Absolutely fantastic, I enjoyed every moment!",positive
"I regret buying this, complete waste of money.",negative
"Superb experience, will definitely recommend!",positive
"Awful, I would never use this service again.",negative
"The service was amazing!",positive
"I hate this so much.",negative
"This product changed my life!",positive
"I will never buy this again.",negative
"Fantastic experience, highly recommend!",positive
"Totally disappointed with this purchase.",negative
"Extremely satisfied with the quality!",positive
"Not worth the money.",negative
